FeatureName,ScenarioName,FileName,IsExpected
Number_Formatting,NF_VerifyNFWithQuickFormulaRankingAndGroup,NF_VerifyNFWithQuickFormulaRankingAndGroup_1,false
Number_Formatting,NF_VerifyNFWithQuickFormulaRankingAndGroup,NF_VerifyNFWithQuickFormulaRankingAndGroup_2,false
Pin Row And Column,PRC_35_Aggregation_VisibleRounding,Visible Rounding,false
Quick Formula - Measures,QM_10_PercContrGT_SB1_NoBar,QM_10_PercContrGT_SB1_NoBar_0,false
Quick Formula - Measures,QM_10_PercContrGT_SB1_NoBar,QM_10_PercContrGT_SB1_NoBar_1,false
Quick Formula - Measures,QM_16_LeadLag_Off1,QM_16_LeadLag_Off1_0,false
Quick Formula - Measures,QM_16_LeadLag_Off1,QM_16_LeadLag_Off1_1,false
Number_Formatting,NF_MeasureCell,NF_MeasureCell_1,false
Number_Formatting,NF_MeasureCell,NF_MeasureCell_2,false
Pin Row And Column,PRC_25_SmartAnalysis_Variance,SmartAnalysisValidation,false
Blend,Blend_09A_Gripper_Pin,Blend_09A_Gripper_Pin_0,false
Pin Row And Column,PRC_13_PR_TemplateRowPin,ITR_BeforePin,false
Pin Row And Column,PRC_13_PR_TemplateRowPin,ITR_AfterPin,false
Number_Formatting,NF_UniformCell,NF_UniformCell_1,false
Number_Formatting,NF_UniformCell,NF_UniformCell_2,false
Smart_Analysis,05_smartAnalysis_with_InsertRow,SmartAnalysis_calculatedRow,false
Pin Row And Column,PRC_41_Filter,PRC_41_Filter_1,false
Pin Row And Column,PRC_41_Filter,PRC_41_Filter_2,false
Pin Row And Column,PRC_51_PC_BlendSetup,PRC_51_PC_BlendSetup_01_BlendCreation_Horiz,false
Pin Row And Column,PRC_51_PC_BlendSetup,PRC_51_PC_BlendSetup_01_BlendCreation_Pin,false
Quick Formula - Measures,QM_29_Comb_Manage_Options,QM_29_Comb_Manage_Options_0,false
Quick Formula - Measures,QM_29_Comb_Manage_Options,QM_29_Comb_Manage_Options_1,false
Blend,Blend_09C_GripperEditMeasure,Blend_09C_GripperEditMeasure_0,false
Pin Row And Column,PRC_33_Aggregation_AvgLeaf,Average Leaf,false
Number_Formatting,NF_VerifyIncreaseAndDecreaseInDecimal,NF_VerifyIncreaseAndDecreaseInDecimal_1,false
Number_Formatting,NF_VerifyIncreaseAndDecreaseInDecimal,NF_VerifyIncreaseAndDecreaseInDecimal_2,false
Number_Formatting,NF_VerifyIncreaseAndDecreaseInDecimal,NF_VerifyIncreaseAndDecreaseInDecimal_3,false
Number_Formatting,NF_VerifyIncreaseAndDecreaseInDecimal,NF_VerifyIncreaseAndDecreaseInDecimal_4,false
Quick Formula - Measures,QM_15_PercContrGT_TopN,QM_15_PercContrGT_TopN_0,false
Quick Formula - Measures,QM_15_PercContrGT_TopN,QM_15_PercContrGT_TopN_1,false
Quick Formula - Measures,QM_27_RankWithin_TopN,QM_27_RankWithin_TopN_0,false
Quick Formula - Measures,QM_27_RankWithin_TopN,QM_27_RankWithin_TopN_1,false
Quick Formula - Measures,QM_27_RankWithin_TopN,QM_27_RankWithin_TopN_2,false
Quick Formula - Measures,QM_42A_Comb_GripperIcon_PinColumn,QM_42A_Comb_GripperIcon_PinColumn_0,false
Pin Row And Column,PRC_31_Aggregation_Maximum,Maximum,false
Smart_Analysis,02_ApplicableOnAnyCell_&_CalculationBasedOnThatCell,Contribution,false
Smart_Analysis,02_ApplicableOnAnyCell_&_CalculationBasedOnThatCell,Variance,false
Pin Row And Column,PRC_23_QuickFormula_RankingWithinGrp,PRC_23_QuickFormula_RankingWithinGrp_QuickFormula_Pin,false
Number_Formatting,NF_AutoRow,NF_AutoRow_1,false
Number_Formatting,NF_AutoRow,NF_AutoRow_2,false
Quick Formula - Measures,QM_22_OverallRank_SB1,QM_22_OverallRank_SB1_0,false
Number_Formatting,NF_AutoColumn,NF_AutoColumn_1,false
Number_Formatting,NF_AutoColumn,NF_AutoColumn_2,false
Pin Row And Column,PRC_17_PC_Blend,01_BlendCreation_Horiz,false
Pin Row And Column,PRC_17_PC_Blend,01_BlendCreation_Pin,false
Quick Formula - Measures,QM_13_PercContrGT_Bar_PerRed,QM_13_PercContrGT_Bar_PerRed_0,false
Quick Formula - Measures,QM_13_PercContrGT_Bar_PerRed,QM_13_PercContrGT_Bar_PerRed_1,false
Smart_Analysis,01_CreatingSmartAnalysisColumn,NewSmartAnalysisColumn,false
Pin Row And Column,PRC_09_PinColumn_Style1,Style_Comparison1,false
Pin Row And Column,PRC_09_PinColumn_Style1,Style_Comparison2,false
Pin Row And Column,PRC_09_PinColumn_Style1,Style_Comparison3,false
Blend,Blend_09D_GripperColumnDisplay_Hide,Blend_09D_GripperColumnDisplay_Hide_0,false
Pin Row And Column,PRC_45_Layout_4,Table,false
Blend,Blend_10_Manage1,HidingBoth_1,false
Blend,Blend_10_Manage1,ShowingOne_1,false
Blend,Blend_10_Manage1,Showingboth_1,false
Pin Row And Column,PRC_22_QuickFormula_OverallRank,PRC_22_QuickFormula_OverallRank_QuickFormula_Pin,false
Quick Formula - Measures,QM_02_RunningTotal_SB2,QM_02_RunningTotal_SB2_0,false
Quick Formula - Measures,QM_25_RankWithin_NoSubtotal,QM_25_RankWithin_NoSubtotal_0,false
Smart_Analysis,13_smartAnalysis_with_ManageColumn,SmartAnalysis_ManageColumn,false
Pin Row And Column,PRC_34_Aggregation_StdDeviation,Std Deviation,false
Number_Formatting,NF_VerifyNFWithQuickFormulaGrandAndLead,NF_VerifyNFWithQuickFormulaGrandAndLead_1,false
Number_Formatting,NF_VerifyNFWithQuickFormulaGrandAndLead,NF_VerifyNFWithQuickFormulaGrandAndLead_2,false
Pin Row And Column,PRC_36_PR_ShowHide,36_Hide Row,false
Pin Row And Column,PRC_36_PR_ShowHide,36_Show Row,false
Pin Row And Column,PRC_30_Aggregation_Minimum,Minimum,false
Quick Formula - Measures,QM_03_RunningTotal_TopN,QM_03_RunningTotal_TopN_0,false
Quick Formula - Measures,QM_26_RankWithin_IncSubTotal,QM_26_RankWithin_IncSubTotal_0,false
Quick Formula - Measures,QM_26_RankWithin_IncSubTotal,QM_26_RankWithin_IncSubTotal_1,false
Blend,Blend_07_RowHeight,01_CFCase1,false
Pin Row And Column,PRC_43_Layout_2,Drilldown,false
Pin Row And Column,PRC_20_QuickFormula_GrandTotalCont,PRC_20_QuickFormula_GrandTotalCont_QuickFormula_Pin,false
Pin Row And Column,PRC_14_PR_StaticRowPin,ISR_BeforePin,false
Pin Row And Column,PRC_14_PR_StaticRowPin,ISR_AfterPin,false
Number_Formatting,NF_Auto,NF_Auto_1,false
Number_Formatting,NF_Auto,NF_Auto_4,false
Quick Formula - Measures,QM_12_PercContrGT_Bar_BothDefault,QM_12_PercContrGT_Bar_BothDefault_0,false
Number_Formatting,NF_VerifyColumnGripperWithBlend,NF_VerifyColumnGripperWithBlend_1_Vertical,false
Number_Formatting,NF_VerifyColumnGripperWithBlend,NF_VerifyColumnGripperWithBlend_2_Vertical,false
Pin Row And Column,PRC_24_PC_Simulate,QuickFormula_Pin,false
Pin Row And Column,PRC_15_PR_PercContributionRowPin,IPR_BeforePin,false
Pin Row And Column,PRC_15_PR_PercContributionRowPin,IPR_AfterPin,false
Smart_Analysis,12_smartAnalysis_with_Numbers,SmartAnalysis_suffixPrefix,false
Smart_Analysis,12_smartAnalysis_with_Numbers,SmartAnalysis_increaseDecimal,false
Smart_Analysis,12_smartAnalysis_with_Numbers,SmartAnalysis_decreaseDecimal,false
Number_Formatting,NF_VerifyColumnGripperWithSimulate,NF_VerifyColumnGripperWithSimulate,false
Pin Row And Column,PRC_54_Simulate_UnpinAll,PRC_54_Simulate_UnpinAll_QuickFormula_Pin,false
Advanced_Simulate,Sim_01_PositiveVariance,Sim_01_PositiveVariance1_NewSim1_50_America,false
Advanced_Simulate,Sim_01_PositiveVariance,Sim_01_PositiveVariance2_NewSim1_46_Europe,false
Advanced_Simulate,Sim_01_PositiveVariance,Sim_01_PositiveVariance3_NewSim1_30_America,false
Advanced_Simulate,Sim_01_PositiveVariance,Sim_01_PositiveVariance4_NewSim1_20_USA,false
Advanced_Simulate,Sim_01_PositiveVariance,Sim_01_PositiveVariance5_NewSim1_99_USA,false
Advanced_Simulate,Sim_01_PositiveVariance,Sim_01_PositiveVariance6_NewSim2_30_USA,false
Advanced_Simulate,Sim_01_PositiveVariance,Sim_01_PositiveVariance7_NewSim2_11_USA,false
Number_Formatting,NF_Uniform_GlobalScale,NF_Uniform_GlobalScale_Auto,false
Number_Formatting,NF_Uniform_GlobalScale,NF_Uniform_GlobalScale_Thousands,false
Number_Formatting,NF_Uniform_GlobalScale,NF_Uniform_GlobalScale_Millions,false
Number_Formatting,NF_Uniform_GlobalScale,NF_Uniform_GlobalScale_Billions,false
Number_Formatting,NF_Uniform_GlobalScale,NF_Uniform_GlobalScale_Trillions,false
Quick Formula - Measures,QM_01_RunningTotal_SB1,QM_01_RunningTotal_SB1_0,false
Quick Formula - Measures,QM_01_RunningTotal_SB1,QM_01_RunningTotal_SB1_1,false
Blend,Blend_09E_GripperColumnDisplay_ShowAll,Blend_09E_GripperColumnDisplay_ShowAll_0,false
Pin Row And Column,PRC_19_QuickFormula_ParentCont,PRC_19_QuickFormula_ParentCont_QuickFormula_Pin,false
Blend,Blend_11_Manage2,HidingBoth,false
Blend,Blend_11_Manage2,ShowingOne,false
Blend,Blend_11_Manage2,Showingboth,false
Pin Row And Column,PRC_56_SmartAnalysis_UnPinAll,PRC_56_SmartAnalysis_UnPinAll_SmartAnalysisValidation,false
Quick Formula - Measures,QM_42C_Comb_GripperIcon_HideColumn,QM_42C_Comb_GripperIcon_HideColumn_0,false
Advanced_Simulate,Sim_07_SimulateAndManageColumn1,Sim_07_SimulateAndManageColumn11_NewSim1_50_USA,false
Advanced_Simulate,Sim_07_SimulateAndManageColumn1,Sim_07_SimulateAndManageColumn13_NewSim1_30_America,false
Advanced_Simulate,Sim_07_SimulateAndManageColumn1,Sim_07_SimulateAndManageColumn1_ShowingBoth1And2,false
Advanced_Simulate,Sim_07_SimulateAndManageColumn1,Sim_07_SimulateAndManageColumn1_HidingBoth1And2,false
Number_Formatting,NF_VerifyPercentage,NF_VerifyPercentage_1,false
Number_Formatting,NF_VerifyPercentage,NF_VerifyPercentage_2,false
Blend,Blend_02_NotApplicableCases,01_NACases_Home,false
Blend,Blend_02_NotApplicableCases,02_NACases_Insert,false
Pin Row And Column,PRC_46_Layout_5,Outline,false
Pin Row And Column,PRC_42_Layout_1,Hierarchy,false
Number_Formatting,NF_Uniform_ColumnLevel,NF_Uniform_ColumnLevel_1,false
Number_Formatting,NF_Uniform_ColumnLevel,NF_Uniform_ColumnLevel,false
Pin Row And Column,PRC_37_PC_ShowColumn,37_Hide Row,false
Pin Row And Column,PRC_37_PC_ShowColumn,37_Show Row,false
Smart_Analysis,03_SmartAnalysis_With_ConditionalFormatting_1,SmartAnalysis_CF_ColourScale,false
Number_Formatting,NF_VerifyPrefixAndSuffix,NF_VerifyPrefixAndSuffix_1,false
Number_Formatting,NF_VerifyPrefixAndSuffix,NF_VerifyPrefixAndSuffix_2,false
Number_Formatting,NF_MeasureRow,NF_MeasureRow_1,false
Number_Formatting,NF_MeasureRow,NF_MeasureRow_2,false
Quick Formula - Measures,QM_11_PercContrGT_SB2_NoBar,QM_11_PercContrGT_SB2_NoBar_0,false
Quick Formula - Measures,QM_23_OverallRank_SB2,QM_23_OverallRank_SB2_0,false
Pin Row And Column,PRC_18_QuickFormula_RunningTotal,PRC_18_QuickFormula_RunningTotal_QuickFormula_Pin,false
Quick Formula - Measures,QM_18_LeadLag_OffPosExtreme,QM_18_LeadLag_OffPosExtreme_0,false
Quick Formula - Measures,QM_18_LeadLag_OffPosExtreme,QM_18_LeadLag_OffPosExtreme_1,false
Blend,Blend_09F_GripperDeleteMeasure,Blend_09F_GripperDeleteMeasure_0,false
Blend,Blend_09F_GripperDeleteMeasure,Blend_09F_GripperDeleteMeasure_0,false
Pin Row And Column,PRC_21_QuickFormula_LeadLag,PRC_21_QuickFormula_LeadLag_QuickFormula_Pin,false
Pin Row And Column,PRC_53_QuickFormula,PRC_53_QuickFormula_QuickFormula_Pin,false
Quick Formula - Measures,QM_04_PercContrParent_SB1_NoBar,QM_04_PercContrParent_SB1_NoBar_0,false
Quick Formula - Measures,QM_04_PercContrParent_SB1_NoBar,QM_04_PercContrParent_SB1_NoBar_1,false
Quick Formula - Measures,QM_08_PercContrParent_Bar_ValRed,QM_08_PercContrParent_Bar_ValRed_0,false
Quick Formula - Measures,QM_08_PercContrParent_Bar_ValRed,QM_08_PercContrParent_Bar_ValRed_1,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_1_NewSim1_50_America,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_2_NewSim1_46_Europe,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_3_NewSim1_30_America,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_4_NewSim1_20_USA,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_5_NewSim1_99_USA,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_6_NewSim2_30_USA,false
Advanced_Simulate,Sim_02_NegativeVariance,Sim_02_NegativeVariance_7_NewSim2_11_USA,false
Blend,Blend_01_SideBarProps,Blend01_BlendCreation_Horiz,false
Blend,Blend_01_SideBarProps,Blend02_BlendCreation_Vert,false
Blend,Blend_01_SideBarProps,Blend03_BlendCreation_Var,false
Blend,Blend_01_SideBarProps,Blend04_BlendCreation_VarPerc,false
Blend,Blend_01_SideBarProps,Blend05_BlendCreationNewTitle,false
Pin Row And Column,PRC_29_Aggregation_Sum,Sum,false
Pin Row And Column,PRC_55_SmartAnalysis_UnpinAll,PRC_55_SmartAnalysis_UnpinAll_SmartAnalysisValidation12,false
Quick Formula - Measures,QM_24_OverallRank_TopN,QM_24_OverallRank_TopN_0,false
Quick Formula - Measures,QM_24_OverallRank_TopN,QM_24_OverallRank_TopN_1,false
Quick Formula - Measures,QM_24_OverallRank_TopN,QM_24_OverallRank_TopN_2,false
Quick Formula - Measures,QM_24_OverallRank_TopN,QM_24_OverallRank_TopN_3,false
Quick Formula - Measures,QM_05_PercContrParent_SB2_NoBar,QM_05_PercContrParent_SB2_NoBar_0,false
Quick Formula - Measures,QM_09_PercContrParent_TopN,QM_09_PercContrParent_TopN_0,false
Quick Formula - Measures,QM_09_PercContrParent_TopN,QM_09_PercContrParent_TopN_1,false
Quick Formula - Measures,QM_42D_Comb_GripperIcon_DeleteMeasure,QM_42D_Comb_GripperIcon_DeleteMeasure_0,false
Quick Formula - Measures,QM_42D_Comb_GripperIcon_DeleteMeasure,QM_42D_Comb_GripperIcon_DeleteMeasure_1,false
Quick Formula - Measures,QM_42D_Comb_GripperIcon_DeleteMeasure,QM_42D_Comb_GripperIcon_DeleteMeasure_2,false
Quick Formula - Measures,QM_42D_Comb_GripperIcon_DeleteMeasure,QM_42D_Comb_GripperIcon_DeleteMeasure_3,false
Quick Formula - Measures,QM_42D_Comb_GripperIcon_DeleteMeasure,QM_42D_Comb_GripperIcon_DeleteMeasure_4,false
Quick Formula - Measures,QM_42D_Comb_GripperIcon_DeleteMeasure,QM_42D_Comb_GripperIcon_DeleteMeasure_5,false
Pin Row And Column,PRC_32_Aggregation_AvgChildren,Average Children,false
Quick Formula - Measures,QM_14_PercContrGT_Bar_ValRed,QM_14_PercContrGT_Bar_ValRed_0,false
Quick Formula - Measures,QM_14_PercContrGT_Bar_ValRed,QM_14_PercContrGT_Bar_ValRed_1,false
Number_Formatting,NF_ApplyNumberFormatInColumnGripper,NF_ApplyNumberFormatInColumnGripper_None,false
Number_Formatting,NF_ApplyNumberFormatInColumnGripper,NF_ApplyNumberFormatInColumnGripper_Auto,false
Number_Formatting,NF_ApplyNumberFormatInColumnGripper,NF_ApplyNumberFormatInColumnGripper_Thousands,false
Number_Formatting,NF_ApplyNumberFormatInColumnGripper,NF_ApplyNumberFormatInColumnGripper_Millions,false
Number_Formatting,NF_ApplyNumberFormatInColumnGripper,NF_ApplyNumberFormatInColumnGripper_Billions,false
Number_Formatting,NF_ApplyNumberFormatInColumnGripper,NF_ApplyNumberFormatInColumnGripper_Trillions,false
Quick Formula - Measures,QM_21_LeadLag_TopN,QM_21_LeadLag_TopN_0,false
Quick Formula - Measures,QM_21_LeadLag_TopN,QM_21_LeadLag_TopN_1,false
Advanced_Simulate,Sim_06_SimulateParentAffectsChild,Sim_06_SimulateParentAffectsChild_1_NewSim1_20_Americas,false
Advanced_Simulate,Sim_06_SimulateParentAffectsChild,Sim_06_SimulateParentAffectsChild_2_NewSim1_30_Europe,false
Quick Formula - Measures,QM_07_PercContrParent_Bar_PerRed,QM_07_PercContrParent_Bar_PerRed_0,false
Quick Formula - Measures,QM_07_PercContrParent_Bar_PerRed,QM_07_PercContrParent_Bar_PerRed_1,false
Smart_Analysis,06_smartAnalysis_with_Filter,SmartAnalysis_Filter,false
Smart_Analysis,15_smartAnalysis_Displayed_for_ColumnSubTotals_GrandTotals_WhenDimensionInColumn,GrandTotalColumnShownAsperSelectedOption,false
Pin Row And Column,PRC_16_PR_PC_EditCell,EditCellValidation,false
Blend,Blend_08_AutofitSummary,BeforeFit,false
Blend,Blend_08_AutofitSummary,AfterFitToHeader,false
Blend,Blend_08_AutofitSummary,AfterFitToContent,false
Blend,Blend_08_AutofitSummary,AfterBestFit,false
Smart_Analysis,04_SmartAnalysis_With_ConditionalFormatting_2,SmartAnalysis_CF_createRule,false
Advanced_Simulate,Sim_07_SimulateAndManageColumn2,Sim_07_SimulateAndManageColumn2_1_NewSim1_50_USA,false
Advanced_Simulate,Sim_07_SimulateAndManageColumn2,Sim_07_SimulateAndManageColumn2_3_NewSim1_30_America,false
Advanced_Simulate,Sim_07_SimulateAndManageColumn2,Sim_07_SimulateAndManageColumn2_ShowingBoth1And2,false
Advanced_Simulate,Sim_07_SimulateAndManageColumn2,Sim_07_SimulateAndManageColumn2_HidingBoth1And2,false
Pin Row And Column,PRC_26_SmartAnalysis_Contribution,SmartAnalysisValidation,false
Pin Row And Column,PRC_11_PinColumn_Alignment,Alignment_left,false
Pin Row And Column,PRC_11_PinColumn_Alignment,Alignment_center,false
Pin Row And Column,PRC_11_PinColumn_Alignment,Alignment_right,false
Quick Formula - Measures,QM_30_Comb_EditCell,QM_30_Comb_EditCell_0,false
Smart_Analysis,11_smartAnalysis_with_TopN,SmartAnalysis_TopN,false
Number_Formatting,NF_AutoCell,NF_AutoCell_1,false
Number_Formatting,NF_AutoCell,NF_AutoCell_2,false
Pin Row And Column,PRC_12_PR_CalculatedRowPin,ICR_BeforePin,false
Pin Row And Column,PRC_12_PR_CalculatedRowPin,ICR_AfterPin,false
Quick Formula - Measures,QM_06_PercContrParent_Bar_BothDefault,QM_06_PercContrParent_Bar_BothDefault_0,false
Number_Formatting,NF_UniformRow,NF_UniformRow_1,false
Number_Formatting,NF_UniformRow,NF_UniformRow_2,false
Advanced_Simulate,Sim_09_SimulateCalculatedRow,Sim_09_SimulateCalculatedRow_1_NewSim1_50_USA,false
Advanced_Simulate,Sim_09_SimulateCalculatedRow,Sim_09_SimulateCalculatedRow_1_NewSim1_50_Americas,false
Smart_Analysis,14_smartAnalysis_EditNotApplicable,SmartAnalysis_EditNotApplicable,false
Pin Row And Column,PRC_07_PinRow_StyleTest_1,PRC_07_PinRow_StyleTest_1,false
Quick Formula - Measures,QM_17_LeadLag_OffNegExtreme,QM_17_LeadLag_OffNegExtreme_0,false
Quick Formula - Measures,QM_17_LeadLag_OffNegExtreme,QM_17_LeadLag_OffNegExtreme_1,false
Pin Row And Column,PRC_44_Layout_3,Stepped,false
